age,beta_mod_f
1,0.07302386467704006
2,0.2583791687956904
3,0.25887065946293586
4,0.23742186571471355
5,0.23804077837480955
6,0.2267190981519035
7,0.22844475489563787
8,0.21680552738219083
9,0.22059780173944313
10,0.2178106636613868
11,0.2202714120151105
12,0.20861919022904077
13,0.20262256096797915
14,0.21702879688541488
15,0.23026937148984772
16,0.22436212153197718
17,0.23584227888431233
18,0.2553393490705047
19,0.25781966452488814
20,0.2913394603719247
21,0.31127455530326575
22,0.3452241402573657
23,0.36610394558680454
24,0.39048867219439964
25,0.39167446300855185
26,0.4044593370792454
27,0.3899435888721594
28,0.38108839105915543
29,0.3671064228599611
30,0.34843778153270083
31,0.3253113404006409
32,0.32176907627085266
33,0.2966185669207706
34,0.27955221305331474
35,0.27409055267230653
36,0.2653179990581896
37,0.24808850925513762
38,0.2392728718055982
39,0.2297092772794528
40,0.21613975761447315
41,0.2238154468786564
42,0.22218674358419632
43,0.2002012338628811
44,0.19952120868273046
45,0.2012298752504962
46,0.1830436178823745
47,0.18103742333472062
48,0.18718073757540774
49,0.1771707560708989
50,0.1650221930811208
51,0.17274569688392116
52,0.17377642193928758
53,0.160136241960207
54,0.16694665582910745
55,0.16499652717434973
56,0.15407127178817862
57,0.16482779219745083
58,0.16549266894685677
59,0.1692703424165278
60,0.1697963349053419
61,0.1623882203005383
62,0.1575176984779172
63,0.15548995428788862
64,0.1546687595163771
65,0.14737184820680693
66,0.14184024385110552
67,0.14801097105836106
68,0.16200514906672223
69,0.13758430987541193
70,0.14396662327951182
71,0.15527310831356492
72,0.14032154840700478
73,0.13410806895192715
74,0.12586162250205585
75,0.12818578300575822
76,0.12659983703605254
77,0.12119209603810653
78,0.12650183106723661
79,0.12246779366770023
80,0.11032387102853927
81,0.13084364697460485
82,0.13654514217283772
83,0.12305338637561829
84,0.12926029848664755
85,0.13023529192416264
86,0.13257308740726928
87,0.13443462587883656
88,0.13478420666364332
89,0.13501872592152428
90,0.13515012634082196
91,0.14275130222375162
